City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Samarai,PG,80.46,light rain,-10.6167,150.6667,Nuli Sapi
400,Cururupu,BR,80.76,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
403,Impfondo,CG,84.34,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
405,Tevaitoa,PF,82.22,moderate rain,-16.7833,-151.5,Hôtel Raiatea Lodge
408,Vanimo,PG,77.13,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
409,Morondava,MG,81.01,scattered clouds,-20.2833,44.2833,La Case Bambou
412,Rawson,AR,87.76,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
413,Isangel,VU,78.85,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
420,The Valley,AI,84.2,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
426,Labuhan,ID,78.39,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
428,Takoradi,GH,81.52,scattered clouds,4.8845,-1.7554,Raybow International Hotel
429,Mecca,SA,80.42,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
430,Sur,OM,79.05,clear sky,22.5667,59.5289,Sur Plaza Hotel
432,Sao Joao Dos Patos,BR,85.28,overcast clouds,-6.495,-43.7022,Montesino Hotel & Restaurante
441,Saint-Georges,GD,82.4,few clouds,12.0564,-61.7485,Siesta Hotel
442,Muscat,OM,82.4,clear sky,23.6139,58.5922,Mutrah Hotel
443,Nakhon Ratchasima,TH,87.01,clear sky,15.0,102.1667,U-Sabai Park Hotel & Resort
447,Kudahuvadhoo,MV,82.92,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
449,Omboue,GA,78.6,broken clouds,-1.5746,9.2618,Hotel Olako
458,Mayumba,GA,77.68,overcast clouds,-3.432,10.6554,LIKWALE LODGE
464,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
466,Poso,ID,76.98,broken clouds,-1.3959,120.7524,Hotel 77 Poso
473,Bandarbeyla,SO,76.39,scattered clouds,9.4942,50.8122,JABIR HOTEL
474,Rio Grande,BR,78.8,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
480,Arica,CL,77.0,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
488,San Pedro,PH,78.01,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
490,Bull Savanna,JM,79.56,scattered clouds,17.8868,-77.5902,Big Red's
492,Meulaboh,ID,75.27,overcast clouds,4.1363,96.1285,Kost Pria
493,Barao De Melgaco,BR,87.8,scattered clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
496,Champerico,GT,89.6,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
499,Amahai,ID,77.32,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
500,Bartica,GY,84.2,light rain,6.4,-58.6167,Relax Inn Hotel
508,Acarau,BR,83.41,heavy intensity rain,-2.8856,-40.12,castelo pizzaria
513,Trujillo,PE,77.0,clear sky,-8.116,-79.03,Casa Andina Standard Trujillo Plaza
514,La Asuncion,VE,80.2,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
519,Caborca,MX,79.0,clear sky,30.5838,-111.101,Hotel Los Lagos
522,Manggar,ID,79.79,overcast clouds,-2.8833,108.2667,Guest Hotel
523,Mareeba,AU,77.0,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
524,Tsabong,BW,83.43,scattered clouds,-26.0217,22.401,Springbok Motel
525,Kavaratti,IN,82.47,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
527,Mersing,MY,80.6,broken clouds,2.4312,103.8405,Timotel Hotel
536,Buin,CL,86.0,few clouds,-33.7333,-70.75,Paihuen
538,Banjar,ID,78.8,scattered clouds,-8.19,114.9675,The Hamsa Resort
542,Port-Gentil,GA,77.0,few clouds,-0.7193,8.7815,Fengshui Residence
548,Inhambane,MZ,75.13,clear sky,-23.865,35.3833,Oceano
550,Tucuman,AR,87.8,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
