City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Pisco,PE,-13.7,-76.2167,78.8,73,0,11.5,clear sky
160,Carnarvon,AU,-24.8667,113.6333,75.2,100,0,10.36,clear sky
161,Bereda,ES,43.2686,-7.5406,46.0,92,67,7.0,broken clouds
162,Cabatuan,PH,10.8794,122.486,73.45,84,100,10.2,overcast clouds
163,Hawick,GB,55.4227,-2.7867,37.0,76,15,7.23,few clouds
164,Atasu,KZ,48.6814,71.6433,12.67,94,82,6.31,broken clouds
165,Tandil,AR,-37.3217,-59.1332,89.01,25,0,4.0,clear sky
166,Hovd,MN,48.0056,91.6419,20.16,65,18,3.56,few clouds
167,Dillon,US,34.4166,-79.3712,55.0,27,75,4.61,broken clouds
168,Baykit,RU,61.67,96.37,19.26,94,100,3.15,light snow
169,Palmer,US,42.1584,-72.3287,33.01,34,20,12.66,few clouds
170,Alice Springs,AU,-23.7,133.8833,77.0,23,91,1.14,overcast clouds
171,Coffs Harbour,AU,-30.3,153.1333,64.99,94,90,4.61,overcast clouds
172,Fonte Boa,BR,-2.4959,-66.2662,90.73,55,0,4.36,clear sky
173,Canavieiras,BR,-15.675,-38.9472,86.0,74,0,14.97,clear sky
174,Buala,SB,-8.145,159.5921,78.71,80,100,4.97,overcast clouds
175,Poum,NC,-20.2333,164.0167,78.42,69,15,14.56,few clouds
176,Kharan,PK,28.5833,65.4167,70.79,22,21,12.21,few clouds
177,Kaniama,CD,-7.5667,24.1833,68.86,91,100,1.63,overcast clouds
178,Mar Del Plata,AR,-38.0023,-57.5575,68.0,64,0,9.22,clear sky
179,Georgetown,MY,5.4112,100.3354,80.01,88,20,4.61,few clouds
180,Tuatapere,NZ,-46.1333,167.6833,46.99,91,93,5.01,overcast clouds
181,Ambanja,MG,-13.6833,48.45,74.64,89,100,2.71,light rain
182,Ferme-Neuve,CA,46.7001,-75.4493,17.6,41,100,10.36,overcast clouds
183,Sterling,US,39.0062,-77.4286,46.99,36,75,20.71,broken clouds
184,Arraial Do Cabo,BR,-22.9661,-42.0278,86.0,61,40,11.5,scattered clouds
185,Fethiye,TR,36.6217,29.1164,50.0,93,0,4.61,clear sky
186,Topeka,US,39.0483,-95.678,64.99,42,20,8.05,few clouds
187,Clyde River,CA,70.4692,-68.5914,-13.0,64,1,16.11,clear sky
188,Chickasha,US,35.0526,-97.9364,59.0,47,1,9.22,clear sky
189,Lazaro Cardenas,MX,17.9583,-102.2,82.17,50,0,9.31,clear sky
190,Creel,MX,27.75,-107.6333,58.26,34,0,9.95,clear sky
191,Vila Velha,BR,-20.3297,-40.2925,88.0,66,20,16.11,few clouds
192,Port Augusta,AU,-32.5,137.7667,71.01,64,90,3.44,light rain
193,Asfi,MA,32.2994,-9.2372,59.61,76,0,10.58,clear sky
194,Saint-Pierre,RE,-21.3393,55.4781,78.8,78,90,4.61,overcast clouds
195,Iqaluit,CA,63.7506,-68.5145,0.0,78,75,27.63,snow
196,Roald,NO,62.5833,6.1333,34.0,69,75,12.66,light snow
197,Shakawe,BW,-18.3667,21.85,71.4,61,0,3.94,clear sky
198,Manta,EC,-0.95,-80.7333,84.2,74,20,8.05,light rain
199,Hvolsvollur,IS,63.7533,-20.2243,39.2,75,40,11.5,scattered clouds
200,Antofagasta,CL,-23.65,-70.4,77.0,68,20,16.11,few clouds
201,Norman Wells,CA,65.282,-126.8329,-2.2,78,75,3.44,broken clouds
202,Vuktyl,RU,63.8567,57.3094,-6.79,92,96,1.97,overcast clouds
203,Paamiut,GL,61.994,-49.6678,32.05,99,100,3.56,snow
204,Alpena,US,45.0617,-83.4327,30.2,34,1,12.66,clear sky
205,Lasa,IT,46.6166,10.7002,48.2,64,0,1.3,clear sky
206,Muros,ES,42.7762,-9.0603,54.0,72,0,5.99,clear sky
207,Jizan,SA,17.3333,42.6667,82.4,69,0,4.61,clear sky
208,Hualmay,PE,-11.0964,-77.6139,78.82,62,72,12.01,broken clouds
209,Biak,ID,-0.9131,122.8766,75.65,78,15,1.9,few clouds
210,Lavrentiya,RU,65.5833,-171.0,-21.32,86,88,1.39,overcast clouds
211,Brockville,CA,44.5834,-75.6826,21.0,53,90,8.05,overcast clouds
212,East London,ZA,-33.0153,27.9116,71.6,78,0,13.8,clear sky
213,Kahului,US,20.8947,-156.47,71.6,68,40,11.5,scattered clouds
214,Camacari,BR,-12.6975,-38.3242,84.2,65,20,12.66,few clouds
215,Matay,EG,28.419,30.7792,62.69,29,0,11.56,clear sky
216,Sapa,PH,5.1544,120.3241,79.9,78,100,7.11,overcast clouds
217,Yendi,GH,9.4427,-0.0099,94.32,27,23,2.26,few clouds
218,Askiz,RU,53.1319,90.5264,19.9,90,100,5.1,overcast clouds
219,Nelson Bay,AU,-32.7167,152.15,64.0,100,40,3.02,scattered clouds
220,Grindavik,IS,63.8424,-22.4338,41.0,87,75,4.61,broken clouds
221,Andra,RU,62.5147,65.8878,3.92,95,96,5.75,overcast clouds
