City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Yar-Sale,RU,3/2/21 22:56,66.8333,70.8333,7.65,95,100,15.86
120,Sibut,CF,3/2/21 22:56,5.718,19.0739,76.26,27,80,3.29
121,Kavieng,PG,3/2/21 22:53,-2.5744,150.7967,84.15,75,100,12.33
122,Clyde River,CA,3/2/21 22:53,70.4692,-68.5914,-5.8,84,90,11.5
123,Poya,NC,3/2/21 22:56,-21.35,165.15,83.61,63,77,5.23
124,Shahrud,IR,3/2/21 22:56,36.4182,54.9763,39.43,73,46,4.36
125,Camopi,GF,3/2/21 22:56,3.1655,-52.3158,72.7,97,99,2.44
126,East London,ZA,3/2/21 22:56,-33.0153,27.9116,76.77,66,80,8.28
127,Huilong,CN,3/2/21 22:56,31.8111,121.655,44.01,82,94,8.01
128,Davenport,US,3/2/21 22:56,41.5236,-90.5776,48.2,57,1,14.97
129,Lavrentiya,RU,3/2/21 22:56,65.5833,-171,-16.35,82,49,13.53
130,Basak,PH,3/2/21 22:56,6.7274,124.1512,72.36,87,10,4.52
131,La Ermita,MX,3/2/21 22:56,20.4139,-101.9936,86.7,14,0,12.1
132,Saskylakh,RU,3/2/21 22:56,71.9167,114.0833,-42.81,80,50,1.21
133,Cornwall,CA,3/2/21 22:54,45.0181,-74.7281,15.8,45,1,18.41
134,Avarua,CK,3/2/21 22:56,-21.2078,-159.775,84.2,74,75,6.91
135,Mount Isa,AU,3/2/21 22:56,-20.7333,139.5,89.6,22,94,11.5
136,Djambala,CG,3/2/21 22:56,-2.5447,14.7533,71.1,92,97,3.6
137,Lokosovo,RU,3/2/21 22:56,61.1333,74.8167,2.55,93,100,11.83
138,Komsomolskiy,UZ,3/2/21 22:56,40.4272,71.7189,44.6,57,100,4.61
139,Mwinilunga,ZM,3/2/21 22:56,-11.7358,24.4293,62.02,97,100,2.75
140,Kiranur,IN,3/2/21 22:56,10.5699,78.7868,68.65,83,0,2.77
141,Kaitangata,NZ,3/2/21 22:53,-46.2817,169.8464,69.01,76,84,1.66
142,Kijang,KR,3/2/21 22:56,35.2442,129.2139,30.2,86,0,4.61
143,Margate,GB,3/2/21 22:56,51.3813,1.3862,42.01,91,3,1.01
144,Zachepylivka,UA,3/2/21 22:56,49.1939,35.2394,35.24,86,98,15.99
145,Narsaq,GL,3/2/21 22:56,60.9167,-46.05,39.2,30,75,42.57
146,Cuamba,MZ,3/2/21 22:56,-14.8031,36.5372,66.97,96,75,4.56
147,Tervel,BG,3/2/21 22:56,43.75,27.4,39.99,74,30,11.54
148,Phangnga,TH,3/2/21 22:56,8.4509,98.5298,77,88,20,6.91
149,Ratnagiri,IN,3/2/21 22:56,16.9833,73.3,74.53,58,0,2.57
150,Fortuna,US,3/2/21 22:56,40.5982,-124.1573,64.99,61,14,1.99
151,Castro,BR,3/2/21 22:52,-24.7911,-50.0119,64.87,94,98,5.44
152,Torbay,CA,3/2/21 22:56,47.6666,-52.7314,33.01,93,20,13.8
153,Bluff,NZ,3/2/21 22:56,-46.6,168.3333,71.01,53,12,11.01
154,Vazhiny,RU,3/2/21 22:56,60.9644,34.0222,21.07,97,4,6.13
155,Chabahar,IR,3/2/21 22:56,25.2919,60.643,71.8,78,0,10.27
156,Srednekolymsk,RU,3/2/21 22:56,67.45,153.6833,-29.15,82,100,3.38
157,Ouesso,CG,3/2/21 22:52,1.6136,16.0517,77.97,69,82,3.78
158,Khatanga,RU,3/2/21 22:56,71.9667,102.5,-38.02,80,0,5.64
159,Ribeira Grande,PT,3/2/21 22:52,38.5167,-28.7,58.39,66,41,29.24
160,Asfi,MA,3/2/21 22:56,32.2994,-9.2372,57.36,84,0,15.1
161,Mar Del Plata,AR,3/2/21 22:56,-38.0023,-57.5575,72,94,75,9.22
162,Chitral,PK,3/2/21 22:56,35.8462,71.7858,39.36,61,55,5.84
163,Portobelo,PA,3/2/21 22:56,9.55,-79.65,82.99,99,48,12.82
164,Kurumkan,RU,3/2/21 22:56,54.3,110.3,-5.26,83,49,2.64
165,Kokkola,FI,3/2/21 22:54,63.8385,23.1307,37.4,65,0,11.5
166,Thompson,CA,3/2/21 22:56,55.7435,-97.8558,8.6,66,75,5.75
167,Winnemucca,US,3/2/21 22:56,40.973,-117.7357,57.2,21,1,8.05
168,Tromso,NO,3/2/21 22:56,69.6496,18.957,32,74,75,3.44
169,Dikson,RU,3/2/21 22:56,73.5069,80.5464,-25.42,80,0,7.72
170,Sioux Lookout,CA,3/2/21 22:56,50.1001,-91.917,37.4,60,75,10.36
171,Katsuura,JP,3/2/21 22:56,35.1333,140.3,43,39,20,26.46
172,Auki,SB,3/2/21 22:56,-8.7676,160.7034,80.8,81,86,7.72
173,Bethel,US,3/2/21 22:52,41.3712,-73.414,27,39,0,11.95
174,Goderich,CA,3/2/21 22:56,43.7501,-81.7165,28.4,64,0,20.71
175,Chokurdakh,RU,3/2/21 22:56,70.6333,147.9167,-27.33,86,96,6.08
176,Vydrino,RU,3/2/21 22:56,51.485,104.8461,11.39,92,34,2.01
177,Severo-Kurilsk,RU,3/2/21 22:52,50.6789,156.125,37.65,91,100,24.7
178,Mardin,TR,3/2/21 22:56,37.3131,40.7436,40.95,69,2,4.47
179,Myitkyina,MM,3/2/21 22:56,25.3833,97.4,60.98,67,15,1.92
180,Bilma,NE,3/2/21 22:52,18.6853,12.9164,70.38,20,8,7.87
181,Petropavlivka,UA,3/2/21 22:56,48.4564,36.4367,34.92,96,100,13.91
182,Todos Santos,MX,3/2/21 22:56,23.45,-110.2167,72,60,35,1.01
183,Paamiut,GL,3/2/21 22:53,61.994,-49.6678,30.24,85,98,7.18
184,Kishi,NG,3/2/21 22:56,9.0833,3.85,79.09,18,43,2.93
185,Arraial Do Cabo,BR,3/2/21 22:56,-22.9661,-42.0278,77.52,84,84,23.04
186,Andros Town,BS,3/2/21 22:56,24.7,-77.7667,78.8,61,0,10.36
187,Melilla,ES,3/2/21 22:56,35.2937,-2.9383,59,88,90,2.3
188,Montepuez,MZ,3/2/21 22:56,-13.1256,38.9997,69.96,94,100,2.1
189,Padang,ID,3/2/21 22:53,-0.9492,100.3543,73.4,94,40,3.44
